approve,flag,title_ar,title_translit,author_en,author_ar,category_slug,size_mb,year,source_url
,possible-dupe,مختصر أخلاق حملة القرآن,mkhtsr akhlaq hmlh alqran,al-Ajurri,الآجري,quran-studies,1,,https://islamhouse.com/ar/books/2829485/
,possible-dupe,بدع القراء القديمة والمعاصرة,bda alqra alqdymh walmaasrh,Bakr Abu Zayd,بكر بن عبد الله أبو زيد,quran-studies,0.8,,https://islamhouse.com/ar/books/79741/
,possible-dupe,الفوائد,alfwayd,Ibn al-Qayyim,ابن قيم الجوزية,hadith-studies,7.5,,https://islamhouse.com/ar/books/2841150/
,possible-dupe,المنار المنيف في الصحيح والضعيف,almnar almnyf fy alshyh waldayf,Ibn al-Qayyim,ابن قيم الجوزية,hadith-studies,8.2,,https://islamhouse.com/ar/books/2841142/
x,ok,الإقناع,alaqnaa,Ibn al-Mundhir,ابن المنذر,hadith-studies,13,,https://islamhouse.com/ar/books/2824352/
,possible-dupe,أحاديث الصيام : أحكام وآداب,ahadyth alsyam ahkam wadab,Salih al-Fawzan,صالح بن فوزان الفوزان,hadith-studies,2.5,,https://islamhouse.com/ar/books/2822215/
,possible-dupe,فوائد من شرح سنن الترمذي,fwayd mn shrh snn altrmdhy,Abd al-Aziz ibn Baz,عبد العزيز بن باز,hadith-studies,6,,https://islamhouse.com/ar/books/2800968/
,possible-dupe,فوائد من شرح صحيح البخاري,fwayd mn shrh shyh albkhary,Abd al-Aziz ibn Baz,عبد العزيز بن باز,hadith-studies,9.8,,https://islamhouse.com/ar/books/2800967/
,possible-dupe,شرح حديث ما ذئبان جائعان,shrh hdyth ma dhyban jayaan,Ibn Rajab al-Hanbali,ابن رجب الحنبلي,hadith-studies,0.8,,https://islamhouse.com/ar/books/471714/
,possible-dupe,التحفة الكريمة في بيان كثيرٍ من الأحاديث الموضوعة والسقيمة,althfh alkrymh fy byan kthyr mn alahadyth almwdwah walsqymh,Abd al-Aziz ibn Baz,عبد العزيز بن باز,hadith-studies,14.4,,https://islamhouse.com/ar/books/414108/
,possible-dupe,شرح حديث: «يتبع الميتَ ثلاثة»,shrh hdyth ytba almyt thlathh,Ibn Rajab al-Hanbali,ابن رجب الحنبلي,hadith-studies,0.4,,https://islamhouse.com/ar/books/407381/
,possible-dupe,شرح حديث جبريل عليه السلام,shrh hdyth jbryl alyh alslam,Ibn Rajab al-Hanbali,ابن رجب الحنبلي,hadith-studies,0.5,,https://islamhouse.com/ar/books/407380/
,review,أحاديث السلسلة الذهبية,ahadyth alslslh aldhhbyh,Ibn Hajar al-Asqalani,ابن حجر العسقلاني,hadith-studies,0.4,,https://islamhouse.com/ar/books/407344/
,possible-dupe,الأحاديث الواردة في قراءة سورة الكهف يوم الجمعة - دراسة حديثية,alahadyth alwardh fy qrah swrh alkhf ywm aljmah drash hdythyh,Salih al-Fawzan,صالح بن فوزان الفوزان,hadith-studies,0.5,,https://islamhouse.com/ar/books/396402/
,review,المطالب العالية بزوائد المسانيد الثمانية,almtalb alaalyh bzwayd almsanyd althmanyh,Ibn Hajar al-Asqalani,ابن حجر العسقلاني,hadith-studies,12.6,,https://islamhouse.com/ar/books/388662/
x,ok,مختصر صحيح البخاري,mkhtsr shyh albkhary,Sa'd al-Shithri,سعد الشثري,hadith-studies,11.8,,https://islamhouse.com/ar/books/388632/
,possible-dupe,الجامع الصحيح مما ليس في الصحيحين,aljama alshyh mma lys fy alshyhyn,Muqbil ibn Hadi al-Wadi'i,مقبل بن هادي الوادعي,hadith-studies,5.9,,https://islamhouse.com/ar/books/380514/
,possible-dupe,الصحيح المسند من دلائل النبوة,alshyh almsnd mn dlayl alnbwh,Muqbil ibn Hadi al-Wadi'i,مقبل بن هادي الوادعي,hadith-studies,10.5,,https://islamhouse.com/ar/books/380508/
,possible-dupe,شرح حديث سيد الاستغفار,shrh hdyth syd alastghfar,Abd al-Razzaq al-Badr,عبد الرزاق بن عبد المحسن البدر,hadith-studies,0.9,,https://islamhouse.com/ar/books/344684/
