approve,flag,title_ar,title_translit,author_en,author_ar,category_slug,size_mb,year,source_url
x,ok,التفسير القيم للإمام ابن القيم - ت: الفقي,altfsyr alqym llamam abn alqym t alfqy,Ibn al-Qayyim,ابن قيم الجوزية,quran-studies,9.5,,https://waqfeya.net/books/التفسير-القيم-للإمام-ابن-القيم-ت-الفقي-1718ceb217b943dda38a189a86b8ffc4
x,ok,جامع البيان عن تأويل آي القرآن = تفسير الطبري - ت: شاكر,jama albyan an tawyl ay alqran tfsyr altbry t shakr,Ibn Jarir al-Tabari,محمد بن جرير الطبري,quran-studies,13.1,,https://waqfeya.net/books/جامع-البيان-عن-تأويل-آي-القرآن-تفسير-الطبري-ت-شاكر-f04ed48e2f7b4cd0985934282f85a18f
x,ok,جامع البيان عن تأويل آي القرآن = تفسير الطبري - ت: التركي,jama albyan an tawyl ay alqran tfsyr altbry t altrky,Ibn Jarir al-Tabari,محمد بن جرير الطبري,quran-studies,17.9,,https://waqfeya.net/books/جامع-البيان-عن-تأويل-آي-القرآن-تفسير-الطبري-ت-التركي-d3521452cecd44759809dd9a2f3fc5a1
x,ok,تفسير آيات أشكلت على كثير من العلماء,tfsyr ayat ashklt aly kthyr mn alalma,Ibn Taymiyyah,ابن تيمية,quran-studies,10.6,,https://waqfeya.net/books/تفسير-آيات-أشكلت-على-كثير-من-العلماء-69a97aa74e5b4fc8aeb16b21625514f1
,review,زاد المسير في علم التفسير - ت: الأرناؤوط,zad almsyr fy alm altfsyr t alarnawwt,Ibn al-Jawzi,ابن الجوزي,quran-studies,7.9,,https://waqfeya.net/books/زاد-المسير-في-علم-التفسير-ت-الأرناؤوط-8ed6cbeb5e3d4f1d8b6fe8b3f5b4b8ca
x,ok,تفسير القرآن العظيم = تفسير ابن كثير - ط. قرطبة وأولاد الشيخ,tfsyr alqran alazym tfsyr abn kthyr t qrtbh wawlad alshykh,Ibn Kathir,ابن كثير,quran-studies,12.5,,https://waqfeya.net/books/تفسير-القرآن-العظيم-تفسير-ابن-كثير-ط-قرطبة-وأولاد-الشيخ-8f21def1b13741248742a44280d1a73f
,review,المهذب فيما وقع في القرآن من المعرب,almhdhb fyma wqa fy alqran mn almarb,al-Suyuti,السيوطي,quran-studies,5.1,,https://waqfeya.net/books/المهذب-فيما-وقع-في-القرآن-من-المعرب-6830e4d5fcc940938e5f01fbdd3eede2
,review,تذكرة الأريب في تفسير الغريب - ت البواب,tdhkrh alaryb fy tfsyr alghryb t albwab,Ibn al-Jawzi,ابن الجوزي,quran-studies,4.7,,https://waqfeya.net/books/تذكرة-الأريب-في-تفسير-الغريب--ت-البواب-2543b0da494148f681d851fb7fb45c69
x,ok,تفسير غريب القرآن - ابن قتيبة,tfsyr ghryb alqran abn qtybh,Ibn Qutaybah al-Dinawari,ابن قتيبة الدينوري,quran-studies,10.6,,https://waqfeya.net/books/تفسير-غريب-القرآن--ابن-قتيبة-02f16f93f87c4e8999475053a17a8d67
x,ok,تأويل مشكل القرآن - ت: صقر,tawyl mshkl alqran t sqr,Ibn Qutaybah al-Dinawari,ابن قتيبة الدينوري,quran-studies,11.4,,https://waqfeya.net/books/تأويل-مشكل-القرآن-ت-صقر-a2bf9cd85d9b4473abaf4427f54f5c72
,review,أسرار ترتيب القرآن - ط. الاعتصام,asrar trtyb alqran t alaatsam,al-Suyuti,السيوطي,quran-studies,3.3,,https://waqfeya.net/books/أسرار-ترتيب-القرآن-ط-الاعتصام-9f8bb48996fc4c95b95450d3c2b7e02f
,review,أسرار ترتيب القرآن - ط. الفضيلة,asrar trtyb alqran t alfdylh,al-Suyuti,السيوطي,quran-studies,3.4,,https://waqfeya.net/books/أسرار-ترتيب-القرآن-ط-الفضيلة-82243065b30444c7b9edd09d7aa15607
